29 60
18 53
4
0
0 0
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	10	10	10	10	10	10	10	10	10	10	10	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	10	11	11	11	11	11	11	11	11	11	10	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	10	11	11	11	11	11	11	11	11	11	10	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	10	11	11	11	11	11	11	11	11	11	10	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	10	4	4	4	4	4	4	4	4	4	10	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	10	4	4	4	4	4	4	4	4	4	10	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	10	4	4	4	4	4	4	4	4	4	10	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	10	4	4	4	4	4	4	4	4	4	10	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	10	4	4	4	4	4	4	4	4	4	10	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	10	4	4	4	4	4	4	4	4	4	10	1	1	1	1	1	1
1	1	1	10	10	10	10	10	10	10	10	10	10	4	4	4	4	4	4	4	4	4	10	10	10	10	1	1	1
1	1	1	10	11	11	11	11	11	11	11	11	11	4	4	4	4	4	4	4	4	4	11	11	11	10	1	1	1
1	1	1	10	11	11	11	11	11	11	11	11	11	4	4	4	4	4	4	4	4	4	11	11	11	10	1	1	1
1	1	1	10	11	11	11	11	11	11	11	11	11	4	4	4	4	4	4	4	4	4	11	11	11	10	1	1	1
1	1	1	10	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	10	1	1	1
1	1	1	10	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	10	1	1	1
1	1	1	10	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	10	1	1	1
1	1	1	10	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	10	1	1	1
